Flight Number,Date,Time (UTC),Booster Version,Launch Site,Payload,Payload Mass (kg),Orbit,Customer,Mission Outcome,Landing Outcome
1,6/4/2010,18:45:00,F9 v1.0  B0003,CCAFS LC-40,Dragon Spacecraft Qualification Unit,,LEO,SpaceX,Success,Failure   (parachute)
2,12/8/2010,15:43:00,F9 v1.0  B0004,CCAFS LC-40,"Dragon demo flight C1, two CubeSats,  barrel of Brouère cheese",,LEO (ISS),NASA (COTS) NRO,Success,Failure   (parachute)
3,5/22/2012,7:44:00,F9 v1.0  B0005,CCAFS LC-40,Dragon demo flight C2+,525 ,LEO (ISS),NASA (COTS),Success,No attempt
4,10/8/2012,0:35:00,F9 v1.0  B0006,CCAFS LC-40,SpaceX CRS-1,500 ,LEO (ISS),NASA (CRS),Success,No attempt
5,3/1/2013,15:10:00,F9 v1.0  B0007,CCAFS LC-40,SpaceX CRS-2,677 ,LEO (ISS),NASA (CRS),Success,No attempt
6,9/29/2013,16:00:00,F9 v1.1  B1003,VAFB SLC-4E,CASSIOPE,500 ,Polar LEO,MDA,Success,Uncontrolled (ocean)
7,12/3/2013,22:41:00,F9 v1.1,CCAFS LC-40,SES-8,"3,170 ",GTO,SES,Success,No attempt
8,1/6/2014,22:06:00,F9 v1.1,CCAFS LC-40,Thaicom 6,"3,325 ",GTO,Thaicom,Success,No attempt
9,4/18/2014,19:25:00,F9 v1.1,CCAFS LC-40,SpaceX CRS-3,"2,296 ",LEO (ISS),NASA (CRS),Success,Controlled (ocean)
10,7/14/2014,15:15:00,F9 v1.1,CCAFS LC-40,OG2 Mission 1  6 Orbcomm-OG2 satellites,"1,316 ",LEO,Orbcomm,Success,Controlled (ocean)
11,8/5/2014,8:00:00,F9 v1.1,CCAFS LC-40,AsiaSat 8,"4,535 ",GTO,AsiaSat,Success,No attempt
12,9/7/2014,5:00:00,F9 v1.1 B1011,CCAFS LC-40,AsiaSat 6,"4,428 ",GTO,AsiaSat,Success,No attempt
13,9/21/2014,5:52:00,F9 v1.1 B1010,CCAFS LC-40,SpaceX CRS-4,"2,216 ",LEO (ISS),NASA (CRS),Success,Uncontrolled (ocean)
14,1/10/2015,9:47:00,F9 v1.1 B1012,CCAFS LC-40,SpaceX CRS-5,"2,395 ",LEO (ISS),NASA (CRS),Success,Failure  (drone ship)
15,2/11/2015,23:03:00,F9 v1.1 B1013,CCAFS LC-40,DSCOVR,570 ,Sun–Earth L1,U.S. Air Force NASA NOAA,Success,Controlled (ocean)
